Timestamp,Label,Score,Response Time (s)
2025-06-25 22:34:15,Human,-0.113,0.069
2025-06-25 22:34:15,Human,-0.097,0.067
2025-06-25 22:34:15,Human,-0.109,0.068
2025-06-25 22:34:15,Human,-0.121,0.074
2025-06-25 22:34:16,Human,-0.118,0.078
2025-06-25 22:34:16,Human,-0.115,0.052
2025-06-25 22:34:16,Human,-0.087,0.068
2025-06-25 22:34:16,Human,-0.086,0.096
2025-06-25 22:34:22,Human,-0.109,6.415
2025-06-25 22:34:28,Human,-0.096,5.973
2025-06-25 22:34:28,Human,-0.042,0.055
2025-06-25 22:34:29,Human,-0.035,0.076
2025-06-25 22:34:29,Human,-0.024,0.077
2025-06-25 22:34:29,Human,-0.027,0.049
2025-06-25 22:34:29,Human,-0.021,0.073
2025-06-25 22:34:29,Human,-0.039,0.049
2025-06-25 22:34:29,Human,-0.031,0.082
2025-06-25 22:34:29,Human,-0.047,0.047
2025-06-25 22:34:29,Human,-0.021,0.045
2025-06-25 22:34:29,Human,-0.036,0.047
2025-06-25 22:34:29,Human,-0.030,0.045
2025-06-25 22:34:29,Human,0.002,0.052
2025-06-25 22:34:29,Human,-0.045,0.059
2025-06-25 22:34:29,Human,-0.051,0.078
2025-06-25 22:34:30,Human,-0.047,0.05
2025-06-25 22:34:30,Human,-0.001,0.074
2025-06-25 22:34:30,Human,-0.016,0.08
2025-06-25 22:34:30,Human,-0.045,0.049
2025-06-25 22:34:30,Human,0.012,0.047
2025-06-25 22:34:30,Human,-0.018,0.05
2025-06-25 22:34:30,Human,-0.010,0.077
2025-06-25 22:34:30,Human,0.010,0.046
2025-06-25 22:34:30,Human,0.012,0.05
2025-06-25 22:34:30,Human,-0.010,0.047
2025-06-25 22:34:30,Human,0.024,0.075
2025-06-25 22:34:30,Human,0.023,0.047
2025-06-25 22:34:30,Human,0.051,0.044
2025-06-25 22:34:31,Human,0.083,0.048
2025-06-25 22:34:31,Human,0.055,0.047
2025-06-25 22:34:31,Human,0.066,0.049
2025-06-25 22:34:31,Ball python__606 Snake,0.101,0.081
2025-06-25 22:34:31,Ball python__606 Snake,0.135,0.081
2025-06-25 22:34:31,Ball python__387 Snake,0.127,0.073
2025-06-25 22:34:31,Ball python__387 Snake,0.146,0.071
2025-06-25 22:34:31,Ball python__387 Snake,0.143,0.048
2025-06-25 22:34:31,Ball python__59 Snake,0.142,0.046
2025-06-25 22:34:31,Ball python__59 Snake,0.146,0.048
2025-06-25 22:34:31,Ball python__606 Snake,0.155,0.078
2025-06-25 22:34:31,Ball python__560 Snake,0.174,0.046
2025-06-25 22:34:31,Ball python__560 Snake,0.156,0.049
2025-06-25 22:34:32,Ball python__560 Snake,0.161,0.078
2025-06-25 22:34:32,Ball python__387 Snake,0.169,0.076
2025-06-25 22:34:32,Ball python__59 Snake,0.165,0.05
2025-06-25 22:34:32,Ball python__59 Snake,0.163,0.049
2025-06-25 22:34:32,Ball python__59 Snake,0.163,0.079
2025-06-25 22:34:32,Ball python__560 Snake,0.169,0.046
2025-06-25 22:34:32,Ball python__606 Snake,0.164,0.07
2025-06-25 22:34:32,Ball python__606 Snake,0.173,0.05
2025-06-25 22:34:32,Ball python__606 Snake,0.166,0.073
2025-06-25 22:34:32,Ball python__606 Snake,0.179,0.049
2025-06-25 22:34:32,Ball python__63 Snake,0.189,0.12
2025-06-25 22:34:33,Ball python__59 Snake,0.169,0.061
2025-06-25 22:34:33,Ball python__560 Snake,0.172,0.074
2025-06-25 22:34:33,Ball python__387 Snake,0.167,0.047
2025-06-25 22:34:33,Ball python__606 Snake,0.187,0.077
2025-06-25 22:34:33,Ball python__387 Snake,0.158,0.087
2025-06-25 22:34:33,Ball python__559 Snake,0.164,0.079
2025-06-25 22:34:33,Ball python__387 Snake,0.166,0.069
2025-06-25 22:34:33,Ball python__606 Snake,0.180,0.051
2025-06-25 22:34:33,Ball python__606 Snake,0.175,0.071
2025-06-25 22:34:33,Ball python__559 Snake,0.181,0.056
2025-06-25 22:34:33,Ball python__559 Snake,0.175,0.097
2025-06-25 22:34:34,Ball python__379 Snake,0.183,0.053
2025-06-25 22:34:34,Ball python__559 Snake,0.178,0.079
2025-06-25 22:34:34,Ball python__379 Snake,0.182,0.046
2025-06-25 22:34:34,Ball python__463 Snake,0.189,0.076
2025-06-25 22:34:34,Ball python__379 Snake,0.184,0.078
2025-06-25 22:34:34,Ball python__379 Snake,0.180,0.051
2025-06-25 22:34:34,Ball python__387 Snake,0.180,0.076
2025-06-25 22:34:34,Ball python__387 Snake,0.186,0.077
2025-06-25 22:34:34,Ball python__463 Snake,0.207,0.074
2025-06-25 22:34:34,Ball python__379 Snake,0.197,0.051
2025-06-25 22:34:34,Ball python__379 Snake,0.192,0.052
2025-06-25 22:34:34,Ball python__379 Snake,0.192,0.08
2025-06-25 22:34:35,Ball python__63 Snake,0.204,0.071
2025-06-25 22:34:35,Ball python__246 Snake,0.226,0.05
2025-06-25 22:34:35,Ball python__246 Snake,0.249,0.087
2025-06-25 22:34:35,Ball python__379 Snake,0.244,0.074
2025-06-25 22:34:35,Ball python__272 Snake,0.280,0.078
2025-06-25 22:34:35,Ball python__272 Snake,0.262,0.082
2025-06-25 22:34:35,Ball python__463 Snake,0.263,0.07
2025-06-25 22:34:35,Ball python__160 Snake,0.259,0.08
2025-06-25 22:34:35,Ball python__272 Snake,0.274,0.076
2025-06-25 22:34:35,Ball python__264 Snake,0.274,0.074
2025-06-25 22:34:35,Ball python__272 Snake,0.296,0.049
2025-06-25 22:34:36,Ball python__264 Snake,0.276,0.067
2025-06-25 22:34:36,Ball python__148 Snake,0.288,0.063
2025-06-25 22:34:36,Ball python__264 Snake,0.286,0.079
2025-06-25 22:34:36,Ball python__264 Snake,0.274,0.08
2025-06-25 22:34:36,Ball python__148 Snake,0.297,0.082
2025-06-25 22:34:36,Ball python__264 Snake,0.280,0.077
2025-06-25 22:34:36,Ball python__246 Snake,0.271,0.05
2025-06-25 22:34:36,Ball python__272 Snake,0.282,0.074
2025-06-25 22:34:36,Ball python__246 Snake,0.275,0.075
2025-06-25 22:34:36,Ball python__246 Snake,0.274,0.084
2025-06-25 22:34:37,Ball python__463 Snake,0.258,0.079
2025-06-25 22:34:37,Ball python__246 Snake,0.251,0.08
2025-06-25 22:34:37,Ball python__246 Snake,0.247,0.081
2025-06-25 22:34:37,Ball python__246 Snake,0.250,0.074
2025-06-25 22:34:37,Ball python__246 Snake,0.228,0.049
2025-06-25 22:34:37,Ball python__246 Snake,0.189,0.076
2025-06-25 22:34:37,Ball python__379 Snake,0.185,0.08
2025-06-25 22:34:37,Ball python__606 Snake,0.174,0.077
2025-06-25 22:34:37,Ball python__384 Snake,0.167,0.048
2025-06-25 22:34:37,Ball python__560 Snake,0.114,0.081
2025-06-25 22:34:37,Human,0.040,0.076
2025-06-25 22:34:38,Human,0.001,0.049
2025-06-25 22:34:38,Human,-0.035,0.05
2025-06-25 22:34:38,Human,-0.066,0.045
2025-06-25 22:34:38,Human,-0.088,0.05
2025-06-25 22:34:38,Human,-0.091,0.077
2025-06-25 22:34:38,Human,-0.077,0.083
2025-06-25 22:34:38,Human,-0.059,0.08
2025-06-25 22:34:38,Human,-0.072,0.047
2025-06-25 22:34:38,Human,-0.048,0.047
2025-06-25 22:34:38,Human,-0.087,0.049
2025-06-25 22:34:38,Human,-0.106,0.078
2025-06-25 22:34:38,Human,-0.099,0.049
2025-06-25 22:34:38,Human,-0.084,0.082
